🎉😂 6:01 😂 6:02 😂 6:02 6:11 😂 6:11 6:12 😂,3 months ago
En ese tiempo me vine yo del Salvador,1 year ago
En Colombia hace falta una cárcel como esta.,1 year ago
El presidente que Costa Rica necesita en estos momentos el mejor del mundo.  😊,1 year ago
Demasiada información del penal de máxima seguridad del salvador deberias de borrar el vídeo ..!!!,1 year ago
Te amo,1 year ago
No poes un verdadero castigo  pero ordenado.,6 months ago
Gracias luisito yo saque a mis hijos de el salvador de niños por que las pandillas ni los niños perdonaron jamás ❌️ me alegra que paguen por todos sus crímenes y que se pudran en la cárcel,1 year ago
"​ @Arbes_  como puede ser uno tan ciego ? 
Ni hablar  la reseta decia una vez a la semana y las de esquizo cada 8 horas",1 year ago
 @carlosfrei7318  conozco esos casos pero no entiendo mucho el punto de eso.,1 year ago (edited)
​ @tavomontana3302  me pica la mano,1 year ago (edited)
Hablas muy bien el Ruso,1 year ago
No hay derechos humanos en ese país ????,1 year ago
 @Nikawalni  tu vil fanatismo politiquero es impresionante,1 year ago (edited)
 @NeodexGold lo critican los que defienden los derechos humanos según que por el trato que se les da a estas lacras.,1 year ago (edited)
Poreso da coraje cuando los gorgojos de la oposición decian que la seguridad mo se come. Que los metan presos a esos corruptos también,1 year ago
"​ @tavomontana3302 te faltó decir
Atte:mi familiar marero está adentro era un inocente😢😂",1 year ago (edited)
Felicidades hermano,1 year ago
😮😮😮,7 months ago
"@VictorABalan ¿Sabes qué necesita LATAM? El mantenimiento usual de cualquier cosa que se construya o servicio que imparta. A Bukele no debería de celebrarse tan temprano por una idea que ha sido llevada a cabo desde cientos de décadas atrás es muy temprana su celebración pues celebrado sería si la prisión permanece en su estado actual.

El problema de la delincuencia no sólo se soluciona con prisiones sino también con la buena estrategia y administración de recursos que un país tenga para mantenerlas yyyyy a su gente....es economía bro es complicada . Apoyar a un político por hacer más cárceles es como pedir que se imprima más dinero XD......es la cuestión administrativa de los recursos para su población que de ser buena tiene que ser aplaudida no sólo una prisión más.",1 year ago
"😢 ojalá que llegue aquí uno como él se comenta en las esquinas de mi adorada 🏝️ isla del encuentro que ha pasado a ser del espanto 😢!!
Me alegro por todos ustedes..",1 year ago
Eso si es una cárcel y un castigo merecido eso faltaen México y latinoamerica un presidente con huevos y es lo que se merecen esos infelices ver si cara atravez de los barrotes me da felicidad,1 year ago
Cuales derechos esos ya no tienen ningún derecho ni a vivir,1 year ago
